NAME NODE;CPU (cores);MEMORY (bytes);ACTIVE PODS;TASK;PARAMETER;EXECUTION START TIME (seconds)
cs-modeling1;459m;1110Mi;1;2;1;3939
cs-modeling1;1846m;1138Mi;1;2;5;4000
cs-modeling1;1846m;1138Mi;2;2;3;4066
cs-modeling1;1975m;1153Mi;3;2;2;4133
cs-modeling1;1984m;1162Mi;3;3;4;4200
cs-modeling1;288m;1114Mi;1;2;1;4261
cs-modeling1;1354m;1117Mi;1;2;1;4326
cs-modeling1;1764m;1133Mi;2;3;3;4392
cs-modeling1;1790m;1300Mi;2;1;2;4460
cs-modeling1;1901m;1137Mi;1;1;5;4520
cs-modeling1;1261m;1137Mi;2;1;4;4587
cs-modeling1;1967m;1158Mi;2;1;5;4655
cs-modeling1;1976m;1153Mi;3;1;3;4721
cs-modeling1;1985m;1192Mi;4;2;1;4788
cs-modeling1;1998m;1197Mi;4;3;1;4856
cs-modeling1;1977m;1164Mi;3;1;3;4925
cs-modeling1;1993m;1169Mi;3;3;5;4994
cs-modeling1;1980m;1390Mi;4;3;1;5060
cs-modeling1;1974m;1543Mi;3;2;4;5123
cs-modeling1;1643m;1140Mi;2;1;5;5192
cs-modeling1;1733m;1138Mi;2;1;5;5260
cs-modeling1;1962m;1169Mi;3;2;1;5327
cs-modeling1;1990m;1192Mi;4;3;3;5393
cs-modeling1;1996m;1198Mi;3;3;1;5464
cs-modeling1;1994m;1166Mi;3;1;1;5532
cs-modeling1;1994m;1184Mi;3;2;1;5608
cs-modeling1;1981m;1185Mi;4;1;4;5675
cs-modeling1;1809m;1145Mi;2;1;5;5736
cs-modeling1;1980m;1292Mi;2;3;4;5803
cs-modeling1;1981m;1487Mi;3;2;1;5875
cs-modeling1;1973m;1575Mi;4;2;3;5942
cs-modeling1;1992m;1724Mi;5;3;1;6006
cs-modeling1;313m;1120Mi;1;1;2;6074
cs-modeling1;1758m;1137Mi;2;3;3;6140
cs-modeling1;1968m;1331Mi;3;1;1;6207
cs-modeling1;1932m;1141Mi;2;2;2;6279
cs-modeling1;291m;1116Mi;1;1;1;6340
cs-modeling1;1867m;1139Mi;1;2;4;6401
cs-modeling1;1882m;1136Mi;2;2;4;6467
cs-modeling1;1974m;1158Mi;2;3;5;6535
cs-modeling1;1992m;1468Mi;3;2;3;6602
cs-modeling1;1163m;1161Mi;1;3;2;6669
cs-modeling1;1163m;1124Mi;1;1;3;6735
cs-modeling1;1767m;1139Mi;2;1;1;6801
cs-modeling1;1982m;1175Mi;3;2;1;6868
cs-modeling1;1986m;1166Mi;1;3;5;6929
cs-modeling1;1264m;1916Mi;1;1;4;6994
cs-modeling1;1776m;1139Mi;2;2;1;7061
cs-modeling1;2000m;1175Mi;3;3;5;7128
cs-modeling1;2001m;1502Mi;4;1;1;7195
cs-modeling1;1443m;1132Mi;1;1;3;7262
cs-modeling1;1963m;1139Mi;2;3;3;7328
cs-modeling1;2000m;1316Mi;3;3;4;7395
cs-modeling1;1977m;1624Mi;4;1;2;7462
cs-modeling1;1974m;1427Mi;3;3;3;7523
cs-modeling1;408m;1120Mi;1;1;3;7589
cs-modeling1;1794m;1140Mi;2;1;2;7655
cs-modeling1;1978m;1156Mi;3;3;3;7723
cs-modeling1;1989m;1391Mi;4;1;2;7790
cs-modeling1;1185m;1457Mi;1;3;4;7851
cs-modeling1;1749m;1141Mi;1;2;1;7916
cs-modeling1;1958m;1143Mi;2;3;1;7981
cs-modeling1;1324m;1126Mi;1;1;2;8048
cs-modeling1;1748m;1140Mi;2;2;3;8108
cs-modeling1;378m;1147Mi;1;2;5;8169
cs-modeling1;1832m;1155Mi;2;2;2;8235
cs-modeling1;;;2;2;2;8303
cs-modeling1;1983m;1163Mi;3;2;4;8369
cs-modeling1;1289m;1931Mi;1;3;5;8430
cs-modeling1;1790m;1144Mi;1;1;3;8495
cs-modeling1;1982m;1162Mi;2;2;4;8561
cs-modeling1;1966m;1177Mi;3;2;1;8628
cs-modeling1;1989m;1197Mi;4;3;4;8695
cs-modeling1;389m;1126Mi;1;3;5;8756
cs-modeling1;1805m;1704Mi;2;1;3;8822
cs-modeling1;2000m;1921Mi;3;1;3;8889
cs-modeling1;1999m;1969Mi;4;2;2;8955
cs-modeling1;2000m;1990Mi;4;2;2;9016
cs-modeling1;1758m;1145Mi;2;1;2;9087
cs-modeling1;1758m;1145Mi;2;3;5;9154
cs-modeling1;2001m;1512Mi;3;1;1;9221
cs-modeling1;;;3;2;2;9288
cs-modeling1;729m;1139Mi;1;2;4;9348
cs-modeling1;;;1;3;2;9414
cs-modeling1;1161m;1134Mi;1;1;4;9478
cs-modeling1;1748m;1149Mi;2;1;1;9545
cs-modeling1;306m;1131Mi;3;3;2;9606
cs-modeling1;306m;1131Mi;1;2;3;9667
cs-modeling1;1747m;1274Mi;1;3;2;9733
cs-modeling1;1747m;1388Mi;1;3;5;9798
cs-modeling1;1955m;1662Mi;2;1;2;9863
cs-modeling1;1126m;1149Mi;1;2;3;9926
cs-modeling1;1659m;1142Mi;1;2;2;9991
cs-modeling1;1938m;1149Mi;2;3;3;10058
cs-modeling1;1895m;1352Mi;2;2;1;10133
cs-modeling1;1936m;1153Mi;2;2;3;10201
cs-modeling1;611m;1121Mi;1;3;1;10262
cs-modeling1;320m;1111Mi;1;2;5;10332
cs-modeling1;1814m;1133Mi;2;1;5;10398
cs-modeling1;1980m;1166Mi;3;3;2;10466
cs-modeling1;1692m;1154Mi;2;2;2;10527
cs-modeling1;1713m;1120Mi;1;1;1;10592
cs-modeling1;1663m;1130Mi;1;3;5;10657
cs-modeling1;1897m;1613Mi;2;3;4;10723
cs-modeling1;1990m;2033Mi;3;1;2;10790
cs-modeling1;123m;1114Mi;1;2;1;10851
cs-modeling1;985m;1109Mi;1;3;2;10916
cs-modeling1;1716m;1168Mi;1;3;4;10982
cs-modeling1;1803m;1408Mi;2;3;4;11048
cs-modeling1;255m;1117Mi;3;2;1;11109
cs-modeling1;724m;1115Mi;1;3;1;11170
cs-modeling1;1876m;1392Mi;1;3;5;11235
cs-modeling1;1990m;1769Mi;2;3;5;11301
cs-modeling1;1980m;2131Mi;3;1;1;11367
cs-modeling1;1072m;1109Mi;2;3;1;11428
cs-modeling1;1926m;1126Mi;1;2;5;11494
cs-modeling1;1906m;1142Mi;2;1;5;11560
cs-modeling1;1974m;1159Mi;3;3;1;11626
cs-modeling1;1981m;1155Mi;3;1;2;11694
cs-modeling1;1276m;1139Mi;2;1;5;11762
cs-modeling1;1841m;1143Mi;2;1;5;11830
cs-modeling1;1987m;1161Mi;3;1;2;11897
cs-modeling1;1983m;1193Mi;4;2;5;11963
cs-modeling1;1983m;1193Mi;5;2;1;12025
cs-modeling1;2000m;1216Mi;5;2;1;12093
cs-modeling1;1989m;1167Mi;4;1;5;12308
cs-modeling1;1954m;1177Mi;2;1;5;12379
cs-modeling1;1982m;1211Mi;3;2;3;12446
cs-modeling1;1987m;1192Mi;4;1;2;12514
cs-modeling1;1989m;1212Mi;5;1;1;12580
cs-modeling1;1998m;1183Mi;3;2;5;12644
cs-modeling1;1995m;1169Mi;3;3;2;12712
cs-modeling1;1967m;1250Mi;4;1;3;12779
cs-modeling1;1979m;1334Mi;4;3;3;12846
cs-modeling1;1998m;1167Mi;5;2;5;12908
cs-modeling1;1902m;1154Mi;1;3;2;12977
cs-modeling1;1829m;1140Mi;1;1;2;13043
cs-modeling1;1836m;1177Mi;2;3;1;13109
cs-modeling1;1372m;1127Mi;1;1;1;13176
cs-modeling1;313m;1121Mi;1;3;5;13236
cs-modeling1;501m;1115Mi;1;2;3;13301
cs-modeling1;1814m;1134Mi;2;3;1;13367
cs-modeling1;1792m;1142Mi;2;3;3;13435
cs-modeling1;1235m;1141Mi;2;1;3;13503
cs-modeling1;289m;1118Mi;1;3;2;13563
cs-modeling1;1734m;1140Mi;1;2;4;13628
cs-modeling1;1931m;1172Mi;2;1;5;13694
cs-modeling1;2003m;1206Mi;3;1;3;13760
cs-modeling1;1998m;1184Mi;3;2;3;13821
cs-modeling1;1992m;1168Mi;3;1;4;13890
cs-modeling1;1984m;1184Mi;4;1;3;13956
cs-modeling1;1985m;1188Mi;4;3;3;14024
cs-modeling1;1983m;1307Mi;5;2;2;14090
cs-modeling1;1967m;1166Mi;2;2;4;14165
cs-modeling1;1957m;1175Mi;3;1;4;14232
cs-modeling1;;;3;3;2;14300
cs-modeling1;1997m;1328Mi;4;1;4;14372
cs-modeling1;1997m;1328Mi;3;1;4;14433
cs-modeling1;1992m;1179Mi;3;2;5;14501
cs-modeling1;1977m;1177Mi;4;1;3;14569
cs-modeling1;1973m;1191Mi;4;2;3;14637
cs-modeling1;2002m;1234Mi;5;2;4;14705
cs-modeling1;1987m;1235Mi;5;1;5;14838
cs-modeling1;1984m;1194Mi;4;3;2;14909
cs-modeling1;1987m;1327Mi;4;1;1;14977
cs-modeling1;1942m;1142Mi;2;2;3;15038
cs-modeling1;1825m;1147Mi;2;1;5;15104
cs-modeling1;1892m;1160Mi;2;2;1;15172
cs-modeling1;1979m;1186Mi;3;3;2;15238
cs-modeling1;2001m;1303Mi;4;2;3;15305
cs-modeling1;442m;1125Mi;1;1;4;15373
cs-modeling1;1794m;1150Mi;2;3;4;15439
cs-modeling1;1992m;1351Mi;3;2;1;15506
cs-modeling1;1981m;1628Mi;4;2;5;15573
cs-modeling1;1981m;1628Mi;2;1;4;15634
cs-modeling1;;;3;2;5;15702
cs-modeling1;;;3;3;5;15771
cs-modeling1;2000m;1470Mi;4;1;2;15838
cs-modeling1;1996m;1571Mi;5;1;2;15905
cs-modeling1;1983m;2039Mi;5;2;3;15972
cs-modeling1;1993m;1950Mi;3;1;3;16042
cs-modeling1;2001m;1972Mi;4;3;5;16109
cs-modeling1;2000m;1332Mi;4;2;1;16177
cs-modeling1;2030m;1510Mi;2;1;4;16239
cs-modeling1;1991m;1948Mi;2;3;2;16307
cs-modeling1;1982m;1170Mi;3;1;2;16373
cs-modeling1;1989m;1215Mi;3;2;2;16441
cs-modeling1;1995m;1490Mi;4;3;5;16506
cs-modeling1;1049m;1133Mi;1;3;4;16574
cs-modeling1;1881m;1515Mi;2;3;3;16640
cs-modeling1;1982m;1834Mi;3;3;2;16707
cs-modeling1;1662m;1144Mi;3;2;1;16781
cs-modeling1;1231m;1145Mi;1;2;5;16842
cs-modeling1;1623m;1141Mi;1;2;3;16906
cs-modeling1;1958m;1253Mi;2;3;3;16972
cs-modeling1;1990m;1410Mi;3;2;1;17037
cs-modeling1;2000m;1451Mi;3;1;5;17106
cs-modeling1;1796m;1156Mi;2;2;3;17174
cs-modeling1;1768m;1148Mi;2;3;5;17242
cs-modeling1;1984m;1429Mi;3;2;2;17309
cs-modeling1;1989m;1581Mi;4;1;1;17375
cs-modeling1;896m;1124Mi;1;3;2;17441
cs-modeling1;1690m;1143Mi;1;2;5;17506
cs-modeling1;1978m;1165Mi;2;1;5;17573
cs-modeling1;1997m;1183Mi;3;1;4;17639
cs-modeling1;1543m;1187Mi;4;2;1;17706
cs-modeling1;1991m;1194Mi;3;1;1;17776
cs-modeling1;1978m;1193Mi;4;3;2;17843
cs-modeling1;1976m;1277Mi;5;3;1;17910
cs-modeling1;1707m;1150Mi;2;1;3;17989
cs-modeling1;827m;1123Mi;1;1;1;18050
cs-modeling1;1727m;1219Mi;1;3;3;18114
cs-modeling1;1884m;1144Mi;2;2;3;18180
cs-modeling1;1971m;1157Mi;2;3;5;18248
cs-modeling1;1983m;1654Mi;3;2;3;18308
cs-modeling1;1008m;1132Mi;1;3;5;18375
cs-modeling1;1806m;1559Mi;2;1;3;18441
cs-modeling1;1975m;1752Mi;3;3;3;18508
cs-modeling1;1979m;1979Mi;4;3;5;18575
cs-modeling1;1979m;2284Mi;2;3;4;18636
cs-modeling1;1793m;1547Mi;2;2;5;18703
cs-modeling1;1975m;1204Mi;2;3;2;18770
cs-modeling1;1976m;1167Mi;3;3;5;18837
cs-modeling1;1993m;1679Mi;3;2;1;18905
cs-modeling1;1411m;1138Mi;1;1;1;18972
cs-modeling1;1827m;1150Mi;1;3;3;19037
cs-modeling1;1728m;1423Mi;2;1;1;19104
cs-modeling1;1799m;1144Mi;2;3;2;19171
cs-modeling1;761m;1126Mi;1;1;5;19232
cs-modeling1;1240m;1146Mi;2;1;4;19299
cs-modeling1;1755m;1130Mi;2;3;2;19367
cs-modeling1;1978m;1157Mi;3;2;1;19435
cs-modeling1;1989m;1182Mi;3;3;1;19503
cs-modeling1;506m;1110Mi;1;3;1;19564
cs-modeling1;1231m;1154Mi;1;2;4;19628
cs-modeling1;1907m;1146Mi;2;1;4;19695
cs-modeling1;1960m;1154Mi;3;2;2;19761
cs-modeling1;1992m;1170Mi;3;1;1;19822
cs-modeling1;901m;1113Mi;1;2;5;19889
cs-modeling1;1793m;1134Mi;2;1;5;19955
cs-modeling1;1986m;1157Mi;3;2;3;20022
cs-modeling1;1999m;1491Mi;4;3;5;20089
cs-modeling1;;;3;1;2;20158
cs-modeling1;;;4;2;4;20225
cs-modeling1;1975m;1981Mi;5;3;4;20292
cs-modeling1;1980m;1351Mi;5;2;3;20360
cs-modeling1;2002m;1434Mi;4;2;1;20428
cs-modeling1;1945m;1349Mi;2;3;5;20501
cs-modeling1;1990m;1617Mi;2;1;2;20568
cs-modeling1;1980m;1768Mi;3;1;1;20635
cs-modeling1;1983m;1878Mi;4;3;5;20701
cs-modeling1;1090m;1126Mi;1;1;2;20768
cs-modeling1;1902m;1149Mi;2;1;4;20835
cs-modeling1;2001m;1159Mi;3;3;1;20901
cs-modeling1;1802m;1133Mi;2;2;1;20971
cs-modeling1;1978m;1158Mi;1;2;3;21032
cs-modeling1;522m;1119Mi;1;2;4;21098
cs-modeling1;1827m;1135Mi;2;3;4;21165
cs-modeling1;1981m;1452Mi;3;2;4;21231
cs-modeling1;1989m;1590Mi;4;1;3;21298
cs-modeling1;1516m;1127Mi;1;3;4;21365
cs-modeling1;1854m;1496Mi;2;2;1;21431
cs-modeling1;1989m;1656Mi;3;3;3;21498
cs-modeling1;2000m;1799Mi;3;2;1;21564
cs-modeling1;1984m;1403Mi;1;2;1;21625
cs-modeling1;;;1;3;3;21686
cs-modeling1;1790m;1123Mi;1;2;1;21751
cs-modeling1;1961m;1143Mi;2;2;5;21818
cs-modeling1;1950m;1150Mi;2;1;3;21885
cs-modeling1;449m;1117Mi;1;2;1;21946
cs-modeling1;1280m;1151Mi;1;1;1;22011
cs-modeling1;1736m;1139Mi;1;3;3;22076
cs-modeling1;1599m;1418Mi;2;1;4;22142
cs-modeling1;1837m;1139Mi;2;1;1;22206
cs-modeling1;313m;1121Mi;1;2;1;22267
cs-modeling1;1612m;1128Mi;1;1;2;22333
cs-modeling1;1840m;1133Mi;2;3;4;22399
cs-modeling1;1986m;1483Mi;3;3;1;22465
cs-modeling1;478m;1119Mi;1;2;2;22526
cs-modeling1;1370m;1743Mi;1;3;5;22587
cs-modeling1;1991m;1944Mi;2;1;5;22653
cs-modeling1;1973m;1185Mi;3;3;4;22720
cs-modeling1;1982m;1394Mi;3;3;1;22788
cs-modeling1;1254m;1139Mi;1;2;5;22849
cs-modeling1;1923m;1146Mi;2;2;3;22915
cs-modeling1;2000m;1160Mi;3;3;5;22982
cs-modeling1;2000m;1397Mi;4;3;1;23048
cs-modeling1;1972m;1515Mi;3;1;2;23110
cs-modeling1;332m;1119Mi;1;3;5;23177
cs-modeling1;1783m;1444Mi;2;2;5;23243
cs-modeling1;1985m;1796Mi;3;2;5;23309
cs-modeling1;1989m;1931Mi;4;1;1;23375
cs-modeling1;1785m;1146Mi;3;2;4;23437
cs-modeling1;1944m;1164Mi;2;2;3;23506
cs-modeling1;1974m;1165Mi;3;2;5;23573
cs-modeling1;1982m;1157Mi;3;1;5;23641
cs-modeling1;1994m;1157Mi;4;1;3;23706
cs-modeling1;2001m;1211Mi;3;1;4;23776
cs-modeling1;1852m;1169Mi;3;1;1;23844
cs-modeling1;1993m;1202Mi;4;2;1;23910
cs-modeling1;1989m;1214Mi;5;2;5;23982
cs-modeling1;1999m;1190Mi;3;1;1;24047
cs-modeling1;2001m;1186Mi;2;1;3;24122
cs-modeling1;;;2;1;5;24189
cs-modeling1;1983m;1169Mi;3;3;5;24256
cs-modeling1;2001m;1684Mi;4;2;1;24317
cs-modeling1;1979m;1949Mi;3;3;2;24386
cs-modeling1;1982m;2053Mi;4;3;3;24452
cs-modeling1;1979m;1315Mi;3;1;4;24522
cs-modeling1;2002m;1458Mi;4;3;3;24589
cs-modeling1;1985m;1409Mi;1;1;1;24651
cs-modeling1;1698m;1150Mi;1;2;3;24716
cs-modeling1;1949m;1214Mi;2;3;2;24783
cs-modeling1;1972m;1158Mi;3;1;5;24850
cs-modeling1;1760m;1142Mi;2;1;1;24911
cs-modeling1;1706m;1159Mi;1;3;1;24976
cs-modeling1;1421m;1131Mi;1;2;4;25041
cs-modeling1;1639m;1147Mi;2;2;5;25108
cs-modeling1;1987m;1161Mi;3;3;3;25175
cs-modeling1;926m;1124Mi;1;2;2;25236
cs-modeling1;794m;1125Mi;1;3;4;25300
cs-modeling1;1726m;1422Mi;2;2;1;25366
cs-modeling1;1986m;1623Mi;3;3;3;25432
cs-modeling1;295m;1121Mi;3;3;1;25501
cs-modeling1;269m;1123Mi;1;3;1;25562
cs-modeling1;1378m;1766Mi;1;3;5;25623
cs-modeling1;1959m;1937Mi;2;1;4;25689
cs-modeling1;1943m;1149Mi;3;3;1;25756
cs-modeling1;1594m;1165Mi;2;1;3;25817
cs-modeling1;1501m;1162Mi;1;3;1;25883
cs-modeling1;1280m;1139Mi;1;2;5;25947
cs-modeling1;1755m;1139Mi;2;1;2;26014
cs-modeling1;1985m;1168Mi;3;1;4;26080
cs-modeling1;1312m;1148Mi;2;1;5;26142
cs-modeling1;1776m;1151Mi;2;2;4;26209
cs-modeling1;1976m;1178Mi;3;3;1;26276
cs-modeling1;1971m;1202Mi;3;3;5;26345
cs-modeling1;2000m;1692Mi;4;2;3;26407
cs-modeling1;;;3;3;2;26477
cs-modeling1;1993m;1574Mi;4;1;3;26543
cs-modeling1;;;2;1;2;26614
cs-modeling1;1987m;1171Mi;3;3;3;26680
cs-modeling1;344m;1125Mi;1;2;4;26741
cs-modeling1;895m;1129Mi;1;2;2;26806
cs-modeling1;1834m;1150Mi;2;2;1;26872
cs-modeling1;2002m;1172Mi;2;1;1;26943
cs-modeling1;287m;1123Mi;3;1;3;27007
cs-modeling1;951m;1121Mi;1;2;1;27068
cs-modeling1;1734m;1146Mi;1;1;1;27132
cs-modeling1;1798m;1148Mi;1;1;5;27201
cs-modeling1;1963m;1170Mi;2;2;1;27268
cs-modeling1;1408m;1148Mi;2;3;2;27329
cs-modeling1;1313m;1139Mi;1;1;2;27395
cs-modeling1;1826m;1146Mi;2;2;2;27460
cs-modeling1;1999m;1174Mi;2;2;1;27535
cs-modeling1;392m;1128Mi;3;2;4;27603
cs-modeling1;637m;1124Mi;1;3;1;27664
cs-modeling1;1917m;1422Mi;1;3;5;27729
cs-modeling1;1945m;1658Mi;2;1;3;27795
cs-modeling1;1995m;1851Mi;3;2;4;27862
cs-modeling1;1449m;1128Mi;4;3;1;27923
cs-modeling1;1806m;1147Mi;1;1;4;27990
cs-modeling1;1821m;1151Mi;2;1;3;28056
cs-modeling1;1989m;1171Mi;3;1;3;28123
cs-modeling1;1981m;1187Mi;4;1;1;28189
cs-modeling1;2001m;1190Mi;1;1;1;28256
cs-modeling1;1751m;1146Mi;1;1;2;28323
cs-modeling1;1807m;1129Mi;2;3;5;28390
cs-modeling1;1980m;1572Mi;2;1;1;28463
cs-modeling1;1193m;1135Mi;2;2;5;28524
cs-modeling1;1332m;1116Mi;1;3;2;28595
cs-modeling1;1174m;1112Mi;1;2;5;28659
cs-modeling1;1792m;1134Mi;2;1;3;28725
cs-modeling1;1985m;1155Mi;3;3;3;28793
cs-modeling1;573m;1110Mi;1;2;4;28854
cs-modeling1;1812m;1144Mi;2;3;4;28920
cs-modeling1;2002m;1333Mi;2;1;1;28988
cs-modeling1;1955m;1507Mi;3;2;5;29055
cs-modeling1;1382m;1121Mi;2;2;1;29116
cs-modeling1;;;1;1;5;29182
cs-modeling1;1994m;1132Mi;2;2;5;29249
cs-modeling1;1985m;1160Mi;3;3;3;29316
cs-modeling1;1970m;1289Mi;4;1;4;29383
cs-modeling1;1987m;1175Mi;3;1;5;29446
cs-modeling1;1977m;1181Mi;4;3;3;29513
cs-modeling1;2000m;1286Mi;5;2;3;29580
cs-modeling1;1979m;1367Mi;5;2;2;29649
cs-modeling1;1984m;1503Mi;5;1;1;29724
cs-modeling1;2004m;1211Mi;5;2;1;29794
cs-modeling1;1987m;1205Mi;5;3;4;29862
cs-modeling1;;;4;3;3;29931
cs-modeling1;1993m;1812Mi;5;2;2;29998
cs-modeling1;1710m;1139Mi;1;2;2;30066
cs-modeling1;1959m;1143Mi;2;2;4;30132
cs-modeling1;1977m;1162Mi;2;2;2;30203
cs-modeling1;1982m;1159Mi;3;1;5;30269
cs-modeling1;1990m;1188Mi;2;3;2;30331
cs-modeling1;1689m;1138Mi;2;1;3;30398
cs-modeling1;1982m;1161Mi;3;3;2;30465
cs-modeling1;1961m;1152Mi;3;3;2;30533
cs-modeling1;1986m;1163Mi;3;2;2;30601
cs-modeling1;756m;1135Mi;1;1;5;30662
cs-modeling1;2000m;1164Mi;2;2;3;30729
cs-modeling1;1991m;1172Mi;3;2;3;30795
cs-modeling1;1984m;1183Mi;4;1;5;30861
cs-modeling1;2000m;1199Mi;4;1;4;30923
cs-modeling1;1999m;1167Mi;3;3;3;30992
cs-modeling1;1981m;1285Mi;4;1;4;31059
cs-modeling1;1975m;1389Mi;5;2;4;31126
cs-modeling1;2000m;1525Mi;5;3;1;31218
cs-modeling1;1998m;1191Mi;4;3;4;31289
cs-modeling1;1977m;1304Mi;4;1;5;31356
cs-modeling1;1993m;1425Mi;4;1;3;31425
cs-modeling1;1982m;1593Mi;5;2;1;31491
cs-modeling1;1977m;1159Mi;3;2;3;31562
cs-modeling1;1989m;1216Mi;4;2;3;31629
cs-modeling1;1996m;1190Mi;4;3;4;31697
cs-modeling1;1991m;1359Mi;5;2;2;31764
cs-modeling1;1988m;1429Mi;5;2;5;31830
cs-modeling1;1985m;1723Mi;5;3;4;31914
cs-modeling1;1982m;1388Mi;3;1;5;31987
cs-modeling1;1984m;1521Mi;4;3;2;32053
cs-modeling1;1978m;1709Mi;5;3;2;32114
cs-modeling1;1733m;1145Mi;2;1;3;32186
cs-modeling1;1972m;1169Mi;3;3;2;32253
cs-modeling1;1999m;1251Mi;3;3;1;32321
cs-modeling1;1904m;1534Mi;2;3;5;32390
cs-modeling1;289m;1120Mi;1;3;2;32451
cs-modeling1;1649m;1143Mi;1;2;1;32516
cs-modeling1;1954m;1147Mi;2;1;5;32583
cs-modeling1;;;2;2;1;32657
cs-modeling1;1978m;1159Mi;3;2;2;32718
cs-modeling1;1822m;1148Mi;2;3;5;32786
cs-modeling1;1677m;1440Mi;2;2;5;32854
cs-modeling1;1974m;1674Mi;3;2;3;32920
cs-modeling1;2002m;1930Mi;4;1;2;32987
cs-modeling1;1733m;1147Mi;1;1;4;33056
cs-modeling1;1742m;1146Mi;2;1;3;33122
cs-modeling1;1969m;1169Mi;3;1;4;33195
cs-modeling1;1977m;1184Mi;4;1;5;33262
cs-modeling1;2000m;1215Mi;5;2;3;33323
cs-modeling1;;;4;2;5;33393
cs-modeling1;;;5;2;1;33460
cs-modeling1;1979m;1233Mi;5;3;2;33619
cs-modeling1;1762m;1151Mi;2;1;1;33690
cs-modeling1;1714m;1237Mi;1;3;2;33759
cs-modeling1;1474m;1134Mi;1;3;4;33826
cs-modeling1;1741m;1493Mi;2;2;2;33892
cs-modeling1;321m;1122Mi;1;2;2;33952
cs-modeling1;869m;1126Mi;1;1;3;34017
cs-modeling1;1827m;1150Mi;2;2;1;34084
cs-modeling1;1977m;1165Mi;3;1;2;34150
cs-modeling1;1973m;1187Mi;4;3;1;34211
cs-modeling1;303m;1124Mi;1;2;1;34272
cs-modeling1;844m;1125Mi;1;2;3;34337
cs-modeling1;1770m;1149Mi;2;3;4;34403
cs-modeling1;1986m;1323Mi;3;1;1;34470
cs-modeling1;1222m;1147Mi;1;1;5;34531
cs-modeling1;1222m;1147Mi;2;1;2;34597
cs-modeling1;1976m;1171Mi;3;2;5;34663
cs-modeling1;1981m;1208Mi;4;3;4;34729
cs-modeling1;2000m;1353Mi;4;3;5;34803
cs-modeling1;1729m;1927Mi;2;1;5;34873
cs-modeling1;1806m;1145Mi;2;1;4;34941
cs-modeling1;1985m;1165Mi;3;3;5;35008
cs-modeling1;1973m;1468Mi;4;3;4;35076
cs-modeling1;1973m;1468Mi;5;2;4;35137
cs-modeling1;1976m;2001Mi;5;3;4;35211
cs-modeling1;1956m;2258Mi;5;1;4;35421
cs-modeling1;;;2;3;3;35494
cs-modeling1;;;3;3;3;35561
cs-modeling1;1963m;1691Mi;4;3;5;35628
cs-modeling1;1974m;1677Mi;4;2;3;35696
cs-modeling1;1169m;1159Mi;1;1;2;35764
cs-modeling1;1827m;1157Mi;2;1;2;35831
cs-modeling1;1982m;1180Mi;3;1;2;35897
cs-modeling1;1968m;1177Mi;3;2;4;35966
cs-modeling1;2001m;1199Mi;2;2;1;36027
cs-modeling1;302m;1132Mi;1;1;4;36092
cs-modeling1;1852m;1153Mi;2;3;5;36159
cs-modeling1;1957m;1559Mi;3;3;4;36226
cs-modeling1;1986m;2042Mi;4;3;5;36293
cs-modeling1;1973m;2613Mi;3;1;4;36368
cs-modeling1;;;3;2;3;36436
cs-modeling1;1987m;1958Mi;4;2;3;36503
cs-modeling1;1984m;1979Mi;5;1;5;36570
cs-modeling1;1963m;1207Mi;4;2;4;36632
cs-modeling1;1995m;1183Mi;4;1;4;36700
cs-modeling1;1975m;1218Mi;5;3;2;36766
cs-modeling1;1983m;1313Mi;5;1;5;36844
cs-modeling1;1980m;1349Mi;5;1;5;36910
cs-modeling1;2000m;1211Mi;5;1;1;36980
cs-modeling1;1991m;1248Mi;5;2;3;37213
cs-modeling1;;;4;2;3;37284
cs-modeling1;1987m;1198Mi;5;1;2;37351
cs-modeling1;1987m;1196Mi;5;1;4;37420
cs-modeling1;2000m;1198Mi;5;1;3;37523
cs-modeling1;2001m;1161Mi;3;1;5;37595
cs-modeling1;2001m;1167Mi;4;3;1;37661
cs-modeling1;1999m;1225Mi;4;3;4;37730
cs-modeling1;1997m;2030Mi;5;3;4;37797
cs-modeling1;1981m;1231Mi;2;3;3;37869
cs-modeling1;1999m;1383Mi;3;3;1;37935
cs-modeling1;1981m;1456Mi;3;3;1;38003
cs-modeling1;1092m;1121Mi;1;3;4;38070
cs-modeling1;1380m;1629Mi;1;1;3;38131
cs-modeling1;331m;1112Mi;1;3;3;38196
cs-modeling1;1682m;1407Mi;2;3;3;38261
cs-modeling1;1802m;1341Mi;2;3;2;38328
cs-modeling1;1586m;1128Mi;1;1;4;38395
cs-modeling1;659m;1110Mi;1;2;1;38455
cs-modeling1;1816m;1274Mi;1;3;3;38521
cs-modeling1;1919m;1418Mi;2;2;4;38587
cs-modeling1;1943m;1141Mi;2;2;1;38654
cs-modeling1;1940m;1122Mi;3;3;3;38715
cs-modeling1;861m;1123Mi;1;1;4;38776
cs-modeling1;1855m;1140Mi;2;2;4;38842
cs-modeling1;2000m;1148Mi;3;2;2;38909
cs-modeling1;1993m;1170Mi;4;3;3;38975
cs-modeling1;1995m;1456Mi;1;3;5;39036
cs-modeling1;1840m;1913Mi;2;2;4;39103
cs-modeling1;1780m;1129Mi;2;2;5;39170
cs-modeling1;1989m;1148Mi;3;3;4;39237
cs-modeling1;1996m;1551Mi;4;1;3;39304
